id,lat,lon,alt,name,tz,search_name
KSAN,32.73,-117.18,2.0,"San Diego, San Diego International-Lindbergh Field",America/Los_Angeles,"San Diego, San Diego International-Lindbergh Field"
KSEE,32.83,-116.97,111.0,"San Diego/El Cajon, Gillespie Field Airport",America/Los_Angeles,"San Diego/El Cajon, Gillespie Field Airport"
KNUQ,37.41,-122.05,10.0,"Mountain View, Moffett Field",America/Los_Angeles,"Mountain View, Moffett Field"
KRHV,37.33,-121.82,37.0,San Jose / Reid / Hillv,America/Los_Angeles,San Jose / Reid / Hillv
KSJC,37.36,-121.92,15.0,"San Jose, San Jose International Airport",America/Los_Angeles,"San Jose, San Jose International Airport"
KXSA,37.86,-76.89,41.0,Tappahannock-Essex County Airport,America/New_York,Tappahannock-Essex County Airport
KPHX,33.43,-112.05,340.0,"Phoenix, Phoenix Sky Harbor International Airport",America/Phoenix,"Phoenix, Phoenix Sky Harbor International Airport"
KDSM,41.54,-93.67,259.0,"Des Moines, Des Moines International Airport",America/Chicago,"Des Moines, Des Moines International Airport"
KIKV,41.69,-93.57,276.0,"Ankeny, Ankeny Regional Airport",America/Chicago,"Ankeny, Ankeny Regional Airport"
KPHL,39.87,-75.23,2.0,"Philadelphia, Philadelphia International Airport",America/New_York,"Philadelphia, Philadelphia International Airport"
KPNE,40.08,-75.01,35.0,"Philadelphia, Northeast Philadelphia Airport",America/New_York,"Philadelphia, Northeast Philadelphia Airport"
KMCF,27.85,-82.5,2.0,"Macdill Air Force Base, Fl.",America/New_York,"Macdill Air Force Base, Fl."
KTPA,27.96,-82.54,3.0,"Tampa, Tampa International Airport",America/New_York,"Tampa, Tampa International Airport"
KVDF,28.01,-82.35,3.0,"Tampa, Vandenberg Airport",America/New_York,"Tampa, Vandenberg Airport"
KTPF,27.92,-82.45,1.0,"Tampa, Peter O Knight Airport",America/New_York,"Tampa, Peter O Knight Airport"
KCMH,39.99,-82.88,244.0,"Columbus, Port Columbus International Airport",America/New_York,"Columbus, Port Columbus International Airport"
KLCK,39.82,-82.93,213.0,Rickenbacker Air National Guard Base,America/New_York,Rickenbacker Air National Guard Base
KOSU,40.08,-83.08,274.0,"Columbus, Ohio State University Airport",America/New_York,"Columbus, Ohio State University Airport"
KTZR,39.9,-83.14,274.0,"Columbus, Bolton Field Airport",America/New_York,"Columbus, Bolton Field Airport"
KIAD,38.93,-77.45,91.0,"Washington DC, Washington-Dulles International Airport",America/New_York,"Washington DC, Washington-Dulles International Airport"
KJYO,39.08,-77.57,106.0,Leesburg / Godfrey,America/New_York,Leesburg / Godfrey
KBKF,39.71,-104.76,1682.0,"Aurora, Buckley Air Force Base Airport",America/Denver,"Aurora, Buckley Air Force Base Airport"
KCLT,35.21,-80.95,212.0,"Charlotte, Charlotte / Douglas International Airport",America/New_York,"Charlotte, Charlotte / Douglas International Airport"
KSAT,29.53,-98.46,237.0,"San Antonio, San Antonio International Airport",America/Chicago,"San Antonio, San Antonio International Airport"
KSKF,29.38,-98.58,200.0,Kelly Air Force Base,America/Chicago,Kelly Air Force Base
KSSF,29.34,-98.47,170.0,"San Antonio, Stinson Municipal Airport",America/Chicago,"San Antonio, Stinson Municipal Airport"
KPDX,45.59,-122.6,61.0,"Portland, Portland International Airport",America/Los_Angeles,"Portland, Portland International Airport"
KVUO,45.62,-122.66,21.0,"Vancouver, Pearson Field Airport",America/Los_Angeles,"Vancouver, Pearson Field Airport"
KTTD,45.55,-122.41,34.0,"Portland, Portland-Troutdale Airport",America/Los_Angeles,"Portland, Portland-Troutdale Airport"
KANE,45.15,-93.22,277.0,Minneapolis / Blaine,America/Chicago,Minneapolis / Blaine
KMIC,45.06,-93.35,265.0,"Minneapolis, Crystal Airport",America/Chicago,"Minneapolis, Crystal Airport"
KMSP,44.88,-93.23,256.0,"Minneapolis, Minneapolis-St. Paul International Airport",America/Chicago,"Minneapolis, Minneapolis-St. Paul International Airport"
KSTP,44.93,-93.05,213.0,"St. Paul, St. Paul Downtown Holman Field",America/Chicago,"St. Paul Downtown Airport / Holman Field"
KAUS,30.19,-97.67,152.0,"Austin, Austin-Bergstrom International Airport",America/Chicago,"Austin, Austin-Bergstrom International Airport"
KATT,30.32,-97.77,217.0,"Austin City, Austin Camp Mabry",America/Chicago,"Austin City, Austin Camp Mabry"
KBOS,42.36,-71.01,1.0,"Boston, Logan International Airport",America/New_York,"Boston, Logan International Airport"
KMQE,42.21,-71.11,166.0,East Milton,America/New_York,East Milton
KSLC,40.78,-111.97,1286.0,"Salt Lake City, Salt Lake City International Airport",America/Denver,"Salt Lake City, Salt Lake City International Airport"
KU42,40.62,-111.99,1392.0,"Salt Lake City, Salt Lake City Municipal 2 Airport",America/Denver,"Salt Lake City, Salt Lake City Municipal 2 Airport"
KCPS,38.57,-90.16,124.0,"Cahokia / St. Louis, St. Louis Downtown Airport",America/Chicago,"Cahokia / St. Louis, St. Louis Downtown Airport"
KCRG,30.34,-81.51,12.0,"Jacksonville, Craig Municipal Airport",America/New_York,"Jacksonville, Craig Municipal Airport"
KJAX,30.49,-81.69,6.0,"Jacksonville, Jacksonville International Airport",America/New_York,"Jacksonville, Jacksonville International Airport"
KNIP,30.23,-81.67,3.0,"Jacksonville, Naval Air Station",America/New_York,"Jacksonville, Naval Air Station"
KAGC,40.35,-79.92,333.0,"Pittsburgh, Allegheny County Airport",America/New_York,"Pittsburgh, Allegheny County Airport"
