id,lat,lon,alt,name,tz,search_name
c101210410,29.88,121.83,5.0,北仑,Asia/Shanghai,北仑
c101280302,23.18,114.25,50.2,博罗,Asia/Shanghai,博罗
c101280303,23.07,114.37,108.5,惠阳,Asia/Shanghai,惠阳
c101100401,37.68,112.77,831.2,榆次,Asia/Shanghai,榆次
c101270107,30.82,103.88,558.5,郫县,Asia/Shanghai,郫县
ZYTL,38.9,121.63,105.0,Dalian,Asia/Shanghai,Dalian
c101070201,38.9,121.63,91.5,大连,Asia/Shanghai,大连
c101110404,38.03,110.48,894.4,佳县,Asia/Shanghai,佳县
c101161301,36.55,104.15,1736.7,白银,Asia/Shanghai,白银
c101271401,29.57,103.75,424.2,乐山,Asia/Shanghai,乐山
c101210904,29.33,120.08,90.0,义乌,Asia/Shanghai,义乌
c101210905,29.27,120.22,89.9,东阳,Asia/Shanghai,东阳
c101100504,36.33,113.23,947.6,潞城,Asia/Shanghai,潞城
c101100501,36.07,113.03,1046.9,长治,Asia/Shanghai,长治
c101100511,36.12,113.2,1122.0,壶关,Asia/Shanghai,壶关
c101031100,39.05,117.72,4.8,塘沽,Asia/Shanghai,塘沽
c101050501,46.62,126.97,179.6,北林,Asia/Shanghai,北林
c101190605,32.45,119.58,5.2,江都,Asia/Shanghai,江都
c101190601,32.42,119.42,9.9,扬州,Asia/Shanghai,扬州
c101240701,25.87,115.0,137.5,赣县,Asia/Shanghai,赣县
RJAI,35.73,139.92,14.0,Ichikawa,Asia/Tokyo,Ichikawa
RJTI,35.63,139.85,5.0,Tokyo Heliport,Asia/Tokyo,Tokyo Heliport
RJTL,35.8,140.02,20.0,Shimofusa Ab,Asia/Tokyo,Shimofusa Ab
RJOY,34.6,135.6,12.0,Yao Airport,Asia/Tokyo,Yao Airport
RJOO,34.78,135.45,7.0,Osaka International Airport,Asia/Tokyo,Osaka International Airport
RJTC,35.7,139.4,70.0,Tachikawa Ab,Asia/Tokyo,Tachikawa Air Base
RJTR,35.52,139.4,83.0,Zama Airfield,Asia/Tokyo,Zama Ab
RJTT,35.55,139.78,1.0,Tokyo International Airport,Asia/Tokyo,Tokyo International Airport
RJTF,35.67,139.53,40.0,Chofu Airport,Asia/Tokyo,Chofu Airport
RKSS,37.55,126.8,15.0,Seoul / Kimp'O International Airport,Asia/Seoul,Seoul / Kimp'O International Airport
RKSF,37.5,126.93,33.0,Seoul / Yongdungp'O Rokaf Wc,Asia/Seoul,Seoul / Yongdungp'O Rokaf Wc
RKSM,37.43,127.12,27.0,Seoul E Ab,Asia/Seoul,Seoul E Ab
RKSY,37.52,126.98,14.0,Yongsan / H-208 Hp,Asia/Seoul,Yongsan / H-208 Hp
47159,35.1,129.03,3.0,BUSAN,Asia/Seoul,BUSAN
RKPK,35.18,128.93,3.0,Pusan / Kimhae International Airport,Asia/Seoul,Pusan / Kimhae International Airport
RJFF,33.58,130.45,9.0,Fukuoka Airport,Asia/Tokyo,Fukuoka Airport
RJCO,43.12,141.38,5.0,Sapporo Ab,Asia/Tokyo,Sapporo Airport
KQTA,35.45,139.47,50.0,ATSUGI,Asia/Tokyo,ATSUGI
RJBE,34.63,135.22,7.0,Kobe Airport,Asia/Tokyo,Kobe Airport
47143,35.88,128.62,51.0,DAEGU,Asia/Seoul,DAEGU
RKTN,35.9,128.65,33.0,Taegu Ab,Asia/Seoul,Taegu Airport
RKSO,37.1,127.03,9.0,Osan Ab,Asia/Seoul,Osan Ab
RKSW,37.25,127.0,19.0,Suwon Ab,Asia/Seoul,Suwon Ab
47133,36.37,127.37,31.0,DAEJEON,Asia/Seoul,DAEJEON
RKTE,36.4,127.5,72.0,Songmu Ab,Asia/Seoul,Songmu Ab
RKTF,36.3,127.4,161.0,Taejon,Asia/Seoul,Taejon
