id,lat,lon,alt,name,tz,search_name
OEDF,26.47,49.78,17.0,Dammam-King Fahd International Airport,Asia/Riyadh,Dammam-King Fahd International Airport
OIBS,25.91,54.54,17.0,Sirri Island / Sirri,Asia/Tehran,Sirri Island / Sirri
OIBA,25.88,55.03,7.0,Abumusa Island / Abumusa,Asia/Tehran,Abumusa Island / Abumusa
OJAI,31.67,35.97,704.0,Queen Alia Airport,Asia/Amman,Queen Alia Airport
OJAM,31.98,35.98,792.0,Amman Airport,Asia/Amman,Amman Airport
60135,34.05,-6.77,83.0,RABAT-SALE,Africa/Casablanca,Rabat
GMME,34.05,-6.77,83.0,Rabat-Sale,Africa/Casablanca,Rabat
40650,33.23,44.23,39.0,BAGHDAD,Asia/Baghdad,BAGHDAD
KQTZ,33.25,44.22,34.0,BAGHDAD     ORBI,Asia/Baghdad,BAGHDAD     ORBI
ORBI,33.26,44.23,35.0,Baghdad International Airport,Asia/Baghdad,Baghdad International Airport
DAAG,36.72,3.25,30.0,Dar-El-Beida,Africa/Algiers,Dar-El-Beida
OIFM,32.750840000000004,51.86127000000001,2056.0,Esfahan,Asia/Tehran,Esfahan
OKBK,29.22,47.98,39.0,Kuwait Internationalairport,Asia/Kuwait,Kuwait Internationalairport
OKAS,29.35,47.52,144.0,Ali Al Salem Air Base,Asia/Kuwait,Kuwait City
OIMM,36.27,59.63,997.0,Mashhad,Asia/Tehran,Mashhad
60387,36.92,3.95,8.0,DELLYS,Africa/Algiers,DELLYS
OEBA,20.3,41.63,1665.0,Al Baha,Asia/Riyadh,Al Baha
DAON,35.02,-1.47,204.0,Tlemcen Zenata,Africa/Algiers,Tlemcen
DTTD,32.32,10.4,289.0,Remada,Africa/Tunis,Remada
HEAX,31.2,29.95,3.0,Alexandria / Nouzha,Africa/Cairo,Alexandria / Nouzha
DRZA,16.97,7.98,526.0,Agadez,Africa/Niamey,Agadez
OAKB,34.56585,69.21233000000001,1766.0,Kabul Airport,Asia/Kabul,Kabul Airport
GMTN,35.58,-5.33,1.0,Tetuan / Sania Ramel,Africa/Casablanca,Tetouan
ORER,36.24,43.96,409.0,Erbil International Airport,Asia/Baghdad,Erbil International Airport
OIBL,26.532,54.82485,26.0,Bandar Lengeh,Asia/Tehran,Bandar Lengeh
OIKQ,26.76,55.9,21.0,Gheshm Island / Dayrestan,Asia/Tehran,Gheshm Island / Dayrestan
OIBJ,27.82,52.35,662.0,Jam Airport,Asia/Tehran,Bandar Abbas
GMFF,33.93,-4.98,582.0,Fes-Sais,Africa/Casablanca,Fes
OITT,38.08,46.28,1385.0,Tabriz,Asia/Tehran,Tabriz
