id,lat,lon,alt,name,tz,utc_offset
KMLB,28.1,-80.65,7.0,"Melbourne, Melbourne International Airport",America/New_York,UTC-5
KCLW,27.98,-82.76,22.0,Clearwater Air Park,America/New_York,UTC-5
KMEI,32.34,-88.75,89.0,"Meridian, Key Field",America/Chicago,UTC-6
KDNV,40.2,-87.6,204.0,"Danville, Vermilion County Airport",America/Chicago,UTC-6
KGAI,39.17,-77.17,164.0,Montgomery County Airpark,America/New_York,UTC-5
KLHQ,39.76,-82.66,269.0,"Lancaster, Fairfield County Airport",America/New_York,UTC-5
KCAK,40.92,-81.44,365.0,"Akron, Akron-Canton Regional Airport",America/New_York,UTC-5
KAKR,41.04,-81.46,320.0,"Akron, Akron Fulton International Airport",America/New_York,UTC-5
KROG,36.37,-94.1,407.0,"Rogers, Rogers Municipal Airport-Carter Field",America/Chicago,UTC-6
KVBT,36.35,-94.22,394.0,"Bentonville, Bentonville Municipal Airport/Louise M Thaden F",America/Chicago,UTC-6
KXNA,36.28,-94.31,388.0,"Fayetteville/Springdale, Northwest Arkansas Regional Airport",America/Chicago,UTC-6
KBOW,27.95,-81.78,38.0,Bartow Municipal,America/New_York,UTC-5
KGIF,28.06,-81.76,39.0,"Winter Haven, Winter Haven's Gilbert Airport",America/New_York,UTC-5
KLAL,27.98,-82.02,39.0,Lakeland Regional,America/New_York,UTC-5
KARB,42.22,-83.74,243.0,"Ann Arbor, Ann Arbor Municipal Airport",America/New_York,UTC-5
KYIP,42.24,-83.53,217.0,"Detroit, Willow Run Airport",America/New_York,UTC-5
KBED,42.47,-71.29,42.0,"Bedford, Hanscom Field",America/New_York,UTC-5
KSCK,37.89,-121.22,8.0,"Stockton, Stockton Metropolitan Airport",America/Los_Angeles,UTC-8
KGRB,44.48,-88.14,209.0,"Green Bay, Austin Straubel International Airport",America/Chicago,UTC-6
KROA,37.32,-79.97,335.0,"Roanoke, Roanoke Regional Airport",America/New_York,UTC-5
KLHM,38.91,-121.35,37.0,Lincoln Regional Karl Harder Field,America/Los_Angeles,UTC-8
KPTK,42.66,-83.41,296.0,"Pontiac, Oakland County International Airport",America/New_York,UTC-5
