id,lat,lon,alt,name,tz,search_name,random_group
KMQE,42.21,-71.11,166.0,East Milton,America/New_York,East Milton,1
KSLC,40.78,-111.97,1286.0,"Salt Lake City, Salt Lake City International Airport",America/Denver,"Salt Lake City, Salt Lake City International Airport",1
KU42,40.62,-111.99,1392.0,"Salt Lake City, Salt Lake City Municipal 2 Airport",America/Denver,"Salt Lake City, Salt Lake City Municipal 2 Airport",1
KCPS,38.57,-90.16,124.0,"Cahokia / St. Louis, St. Louis Downtown Airport",America/Chicago,"Cahokia / St. Louis, St. Louis Downtown Airport",1
KCRG,30.34,-81.51,12.0,"Jacksonville, Craig Municipal Airport",America/New_York,"Jacksonville, Craig Municipal Airport",1
KJAX,30.49,-81.69,6.0,"Jacksonville, Jacksonville International Airport",America/New_York,"Jacksonville, Jacksonville International Airport",1
KNIP,30.23,-81.67,3.0,"Jacksonville, Naval Air Station",America/New_York,"Jacksonville, Naval Air Station",1
KAGC,40.35,-79.92,333.0,"Pittsburgh, Allegheny County Airport",America/New_York,"Pittsburgh, Allegheny County Airport",1
KCVG,39.04,-84.67,271.0,"Covington / Cincinnati, Cincinnati / Northern Kentucky Inter",America/New_York,"Covington / Cincinnati, Cincinnati / Northern Kentucky Inter",1
KLUK,39.11,-84.42,165.0,"Cincinnati, Cincinnati Municipal Airport Lunken Field",America/New_York,"Cincinnati, Cincinnati Municipal Airport Lunken Field",1
KBNA,36.12,-86.69,183.0,"Nashville, Nashville International Airport",America/Chicago,"Nashville, Nashville International Airport",1
KJWN,36.18,-86.89,151.0,John C Tune Airport,America/Chicago,John C Tune Airport,1
KSPI,39.85,-89.68,178.0,"Springfield, Abraham Lincoln Capital Airport",America/Chicago,"Springfield, Abraham Lincoln Capital Airport",1
KEYE,39.83,-86.3,245.0,"Indianapolis, Eagle Creek Airpark",America/New_York,"Indianapolis, Eagle Creek Airpark",1
KIND,39.73,-86.28,240.0,"Indianapolis, Indianapolis International Airport",America/New_York,"Indianapolis, Indianapolis International Airport",1
KLOU,38.23,-85.66,164.0,"Louisville, Bowman Field Airport",America/New_York,"Louisville, Bowman Field Airport",1
KSDF,38.18,-85.73,138.0,"Louisville, Standiford Field",America/New_York,"Louisville, Standiford Field",1
KJVY,38.37,-85.74,144.0,Clark Regional Airport,America/New_York,Clark Regional Airport,1
KCAE,33.94,-81.12,61.0,"Columbia, Columbia Metropolitan Airport",America/New_York,"Columbia, Columbia Metropolitan Airport",1
KCUB,33.97,-80.99,52.0,"Columbia, Columbia Owens Downtown Airport",America/New_York,"Columbia, Columbia Owens Downtown Airport",1
KGKY,32.66,-97.1,182.0,"Arlington, Arlington Municipal Airport",America/Chicago,"Arlington, Arlington Municipal Airport",1
KGPM,32.7,-97.05,176.0,"Grand Prairie, Grand Prairie Municipal Airport",America/Chicago,"Grand Prairie, Grand Prairie Municipal Airport",1
KDMA,32.17,-110.88,805.0,Davis-Monthan Air Force Base,America/Phoenix,Davis-Monthan Air Force Base,1
KTUS,32.13,-110.96,779.0,"Tucson, Tucson International Airport",America/Phoenix,"Tucson, Tucson International Airport",1
KROC,43.12,-77.68,167.0,"Rochester, Greater Rochester International Airport",America/New_York,"Rochester, Greater Rochester International Airport",1
KOFP,37.71,-77.43,61.0,"Ashland, Hanover County Municipal Airport",America/New_York,"Ashland, Hanover County Municipal Airport",1
KRIC,37.51,-77.32,41.0,"Richmond, Richmond International Airport",America/New_York,"Richmond, Richmond International Airport",1
KFCI,37.41,-77.53,72.0,Chesterfield County Airport,America/New_York,Chesterfield County Airport,1
KBKL,41.53,-81.67,174.0,"Cleveland, Burke Lakefront Airport",America/New_York,"Cleveland, Burke Lakefront Airport",1
KCGF,41.57,-81.48,262.0,Cleveland / Cuyahoga,America/New_York,Cleveland / Cuyahoga,1
KCLE,41.41,-81.85,230.0,"Cleveland, Cleveland-Hopkins International Airport",America/New_York,"Cleveland, Cleveland-Hopkins International Airport",1
KBWI,39.17,-76.68,45.0,"Baltimore, Baltimore-Washington International Airport",America/New_York,"Baltimore, Baltimore-Washington International Airport",1
KMTN,39.33,-76.42,1.0,Baltimore / Martin,America/New_York,Baltimore / Martin,1
